maker,name,price
マウスコンピューター mouse computer,PCMI114G306H22C [デスクトップパソコン Core i5-11400/メモリ 16GB/SSD 512GB/HDD 1TB/RTX 3060/Windows 11 Home/ブラック],"￥229,800"
ミニズフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥31,270"
マウスコンピューター mouse computer,PCMI104G306H21J [ゲーミングデスクトップパソコン/Corei5-10400/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥219,800"
マウスコンピューター mouse computer,PCMI114P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei5-11400/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 730/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥154,800"
ASUS エイスース,CHROMEBOX4-G3019UN [Chromebox デスクトップPC Core i3-10110U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥76,800"
ミニズフォーラム MINISFORUM,HM90-16/512-W10Pro（4900H） [小型デスクトップパソコン Ryzen 9 4900H/メモリ 16GB/SSD 512GB/Windows 10 Pro],"￥96,680"
ミニズフォーラム MINISFORUM,X500-16/512-W10Pro（5700G） [小型デスクトップパソコン/AMD Ryzen 7 5700G/メモリ 16GB/ストレージ M.2 2280 SSD NVMe 512GB/Windows 10 Pro 64bit/ブラック],"￥112,990"
ガレリア,RA516S-1500-R21 [ゲーミングデスクトップパソコン ガレリア RA516S-1500 12400/Core i5-12400/GTX 1660 SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥189,800"
CHUWI,HeroBox-8/256-W10(J4125) [小型デスクトップパソコン/Celeron Processor J4125/メモリ 8GB/SSD 256GB/Windows 10 Home/ブラック],"￥30,580"
ASUS エイスース,PB62-B3273AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i3-10105/メモリ 8GB/SSD 256GB/Windows 11 home/ブラック],"￥88,800"
